,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
91-20-3,0,0,0,9.88E-06,0,1.72E-69,0.999990123,0,1.08E-274
913176-41-7,0,0,0,5.50E-43,5.43E-16,1.98E-91,1,0,0
913972-09-5,0,0,0,1,0,5.81E-107,3.14E-22,1.41837052141964e-313,3.71E-190
915392-38-0,0,0,0,1,3.06E-65,1.89E-105,4.78E-54,0,1.73E-78
91-64-5,0,0,0,2.22E-82,0,2.36E-142,1,0,1.02E-244
91819-58-8,0,0,0,1,5.65309911971554e-320,1.70E-36,4.84E-42,0,1.61E-99
92353-11-2,0,0,0,1.47E-81,0,2.68E-115,1,0,0
92760-25-3,0,0,0,1.02E-07,0,1.09E-28,0.999999882,2.87E-253,1.60E-08
928-95-0,2.85E-260,1.02E-272,0,1,1.18E-173,3.52E-20,0,0,1.73E-292
928-96-1,0,0,0,1,4.59E-247,5.81E-107,1.78E-90,3.33E-149,4.20E-145
928-97-2,0,0,0,4.41E-06,0.999995589,5.61E-119,1.47E-48,8.90E-15,2.07E-209
929285-30-3,0,0,0,1.72E-69,0,3.30E-81,7.26E-52,0,1
1993/10/7,0,0,0,1,0,1.01E-105,4.02E-121,0,0
931410-54-7,0,0,0,6.91E-09,0,2.47E-142,0.999999993,0,1.80E-117
93-15-2,0,0,0,2.77E-36,8.73E-64,4.81E-135,0.990353441,6.41E-76,0.009646559
93-16-3,0,0,0,1.03E-38,1.10E-52,1.38E-155,1,3.23E-63,1.16E-23
935-00-2,7.57E-11,1.54E-33,0.989207698,4.98E-07,0.010790915,8.89E-07,4.22E-49,0,8.17E-90
93-51-6,0,0,0,2.47E-139,0,6.59E-237,1,0,1.18E-21
93-58-3,0,0,0,1.08E-11,0,7.90E-141,1,0,5.28140315897061e-317
93-89-0,0,0,0,0,0,1,0,0,1.35E-92
94200-10-9,0,0,0,4.98E-88,0,7.47E-56,1,0,0
94-46-2,0,0,0,1,1.50E-97,5.03E-230,0,0,0
94482-89-0,0,0,0,1,0,9.34E-25,2.21E-57,0,0
94-48-4,0,0,0,1,4.52E-67,1.59E-153,1.55E-19,0,1.62E-182
94-59-7,0,0,0,0.999887312,0.000112688,2.02E-55,4.64E-11,5.74663090584273e-312,1.40E-123
95452-08-7,0,0,0,9.67E-24,0.063533664,9.64E-97,7.11E-19,0.936466336,3.62E-211
95-48-7,0,0,0,4.14E-63,0,6.37E-11,1,0,3.25E-148
95-65-8,0,0,0,1,0,3.19E-134,7.44E-59,0,2.20E-218
95910-36-4,0,0,0,1,0,9.32E-56,0,0,0
96-76-4,2.10E-81,6.57E-76,9.06E-126,2.12E-79,0,1,0,0,0
97-53-0,0,0,0,1,3.62E-58,1.25E-179,8.36E-15,0,6.53E-175
1998/1/1,0,0,0,1,3.29E-217,2.23E-98,3.11E-204,0,1.85E-77
98-55-5,1.93E-57,3.26E-65,7.57E-66,1.82E-06,0.109884762,0.57442433,6.93E-59,0.04042684,0.275262246
98-83-9,0,0,0,1,0,2.57E-94,0,0,2.33E-162
98-86-2,0,0,0,1,0,1.12E-166,1.61E-43,0,5.25E-37
99172-18-6,0,0,0,6.18E-07,0,8.90E-149,0.999999382,0,1.05E-96
99-49-0,0,0,0,1,0,1.17E-94,3.80E-22,0,1.86E-24
99-83-2,2.91E-273,3.99E-273,7.37E-273,7.79E-23,6.63E-128,0.986109055,9.55E-155,6.55E-131,0.013890945
99-84-3,0,0,0,3.84E-80,0,2.21E-59,1,0,6.04E-202
99-85-4,2.12E-65,2.45E-58,7.80E-66,0.005256808,2.35E-10,0.990933662,0.001933929,8.64E-11,0.001875601
99-86-5,3.72E-60,3.44E-50,1.37E-60,0.001322446,1.68E-60,0.729771764,0.000432254,1.96E-06,0.268471574
99-87-6,4.31E-114,2.85E-115,2.79E-107,3.07E-102,3.75E-102,0.9999933,5.15E-115,6.09E-115,6.70E-06
