,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
1335-39-3,0,0,0,1,0,3.24E-59,3.63E-29,0,0
134507-28-1,1.63E-217,4.88E-227,1.76E-307,3.31E-234,6.62E-230,1.76E-307,2.22E-218,1,0
13466-78-9,1.69E-270,9.27E-270,6.23E-271,3.72E-56,1.13E-124,0.999999842,5.75E-53,2.29E-271,1.58E-07
13474-59-4,0,0,0,0.999966223,1.42E-29,1.25E-88,3.38E-05,7.95E-33,1.31E-114
13508-03-7,0,0,0,6.07E-28,0,2.25E-118,1,0,0
13567-40-3,0,0,0,1,0,4.61E-70,1.49E-39,0,0
13601-88-2,0,0,0,4.84E-52,0,1.70E-152,1,0,0
13744-15-5,0,0,0,0.999998964,0,2.05E-32,1.04E-06,0,1.38E-20
13837-63-3,0,0,0,2.40E-102,0,3.00E-75,1,0,2.29E-181
13837-75-7,0,0,0,9.78E-165,0,3.34E-56,1,0,0
13851-11-1,0,0,0,1,0,2.64E-111,2.34E-105,0,6.95E-124
13877-91-3,0,0,0,5.49E-101,1,1.08E-96,5.12E-56,0,7.29E-253
138-86-3,9.73E-27,2.32E-20,3.58E-27,0.706208223,1.30E-06,0.024821467,0.259831994,5.20E-08,0.009136962
138-87-4,0,0,0,1,0,3.05E-102,2.52E-13,0,3.35E-103
13898-73-2,0,0,0,1,0,1.85E-237,3.00E-119,0,0
13925-00-3,0,0,0,0,0,0,5.96E-05,0,0.999940446
140-10-3,0.998645345,1.67E-16,0.001354655,0,6.66E-93,4.15E-43,0,0,7.22E-100
140-11-4,0,0,0,1,0,1.87E-67,3.88E-39,0,1.85E-300
140-26-1,0,0,0,2.44E-16,1.26E-31,2.27E-82,1,1.73E-265,3.40E-183
14029-18-6,0,0,0,1,0,1.51E-115,1.22E-38,0,5.59E-197
140-67-0,0,0,0,4.05E-140,2.57E-24,8.27E-52,8.79E-161,5.73E-227,1
141-12-8,0,0,0,2.06E-28,0,1,0,0,9.13E-69
141-16-2,0,0,0,8.94E-23,0,1.30E-154,1.38E-255,0,1
141-27-5,0,0,0,1.06E-09,4.31E-210,0.999998656,1.34E-06,8.56E-143,0
142-50-7,0,0,0,1,3.42E-261,7.95E-191,0,0,0
142-62-1,0,0,0,1,1.54E-83,4.00E-73,2.94E-51,0,1.58E-265
142-82-5,0,0,0,1,9.90E-236,2.88E-53,2.12E-53,0,1.60E-122
142-92-7,1.68E-71,1.28E-67,3.17E-65,1.65E-97,1,2.99E-34,1.75E-77,9.31E-107,7.05E-134
143-07-7,0,0,0,1,1.04E-189,1.65E-115,4.95E-37,1.10E-191,3.31E-20
143-08-8,0,0,2.21E-266,1.28E-35,1,7.74E-80,3.47E-24,1.59E-230,8.11E-72
143785-42-6,0,0,0,3.07E-51,1.19E-24,3.19E-87,0,0,1
1438-62-6,0,0,0,2.82E-31,0,6.77E-138,1,0,2.13E-90
1438-66-0,0,0,0,0,1,1.25E-104,0,0,2.13E-218
144-39-8,0,0,0,3.23E-16,0,2.34E-113,1,3.23E-98,2.63243474612422e-314
14575-74-7,0,0,0,0.992964933,2.38E-145,0.00703243,2.12E-36,1.14E-65,2.64E-06
1460-73-7,0,0,0,1,2.72E-200,0,0,0,0
1461-03-6,0,0,0,3.14E-120,0,3.05E-144,1,2.37E-68,1.72E-114
1461-27-4,0,0,0,1,3.02E-87,6.24E-74,8.95E-149,0,8.43E-191
14850-23-8,0,0,0,3.41E-31,0,6.93E-188,1,0,0
1489-56-1,0,0,0,7.85E-36,2.61E-196,1,4.32E-15,1.53E-300,3.85E-199
1490-04-6,0,0,0,1.89E-11,1.08E-202,9.98E-93,1,3.00E-256,3.19E-78
14912-44-8,0,0,0,0.25928933,0,0.74071067,1.79E-30,0,2.09E-180
149496-35-5,0,0,0,1,8.24E-121,3.88E-120,6.44E-82,3.57E-144,6.46E-134
15051-81-7,0,0,0,1,0,5.24E-113,2.01E-26,0,1.33E-105
150-84-5,0,0,0,1,0,4.43E-84,0,0,1.06E-303
150-86-7,0,0,0,3.46E-18,6.85E-68,5.26E-80,1,0,1.24E-105
15186-51-3,0,0,2.44E-304,0.999984523,2.50E-199,0,0,0,1.55E-05
152287-43-9,0,0,0,1,0,1.89E-126,2.25E-60,2.94E-148,0
15340-82-6,0,0,0,1,4.74E-141,1.17E-150,2.14E-107,8.10E-234,6.01E-251
153408-92-5,0,0,0,1,0,3.55E-130,1.13E-90,0,3.69E-41
15352-77-9,0,0,0,2.12E-49,1,1.21E-141,1.97E-12,3.42E-131,8.77E-180
15358-88-0,0,0,0,1,0,6.28E-32,2.46E-35,0,2.06E-212
15358-91-5,0,0,0,1,0,5.42E-64,4.23E-19,0,1.97E-150
15358-92-6,0,0,0,1,0,3.22E-97,1.40E-102,0,0
15423-57-1,0,0,0,1,0,3.35E-55,5.87E-40,0,1.95E-226
15438-93-4,0,0,0,1,0,9.22E-159,3.47E-79,0,0
15537-55-0,0,0,0,1,0,7.24E-136,1.68E-163,0,1.16E-151
156747-45-4,0,0,0,2.49E-134,1,9.49E-48,4.03E-92,1.31E-174,3.92E-82
15714-10-0,0,0,0,1.21E-43,0,0,1,0,0
157374-44-2,0,0,0,4.53E-74,0,4.82E-99,1,0,2.28E-174
157477-72-0,0,0,0,1,0,1.99E-106,3.78E-19,0,9.85E-54
1576-77-8,0,0,0,1.84E-55,0,1,0,0,3.24791685496643e-316
1576-95-0,0,0,0,0.999843053,0,0.000156947,0,0,1.13E-231
1599-67-3,0,0,0,7.79E-53,0,9.82E-97,1,0,0
160339-05-9,0,0,0,1,0,9.39E-70,0,0,2.73E-125
1604-34-8,0,0,0,1,0,2.34E-81,0,0,8.99E-129
16106-95-9,0,0,0,1,0,4.57E-19,0,0,6.63E-121
1632-70-8,1,2.38E-23,1.21E-34,8.27E-51,0,1.25E-51,0,3.46E-205,0
1632-73-1,0,0,0,1,0,3.83E-40,2.24E-26,0,0
16409-43-1,0,0,0,1,0,6.78E-58,3.37E-15,0,0
1653-30-1,0,0,0,7.83E-20,0,4.61E-153,1,0,1.46E-147
16641-47-7,0,0,0,0.653873428,0,1.72E-156,0.346126572,0,1.08E-200
16661-00-0,0,0,0,0.960076995,0,8.29E-202,0,0.039923005,1.40E-56
166733-97-7,0.999999933,1.75E-13,6.70E-08,2.36E-13,4.97E-282,3.08E-243,0,0,1.60E-196
16721-38-3,0,0,0,1,0,5.65E-97,4.63E-146,3.46E-170,1.04E-61
16721-39-4,0,0,0,1,0,3.21E-77,0,0,1.02E-55
1674-08-4,0.00E+00,5.13E-308,0.00E+00,3.85E-22,2.17E-180,1,7.05E-33,1.70E-306,3.08E-64
167934-14-7,0,0,0,3.44E-08,0.999999966,3.91E-176,4.07E-87,3.18E-23,8.45E-230
168180-13-0,0,0,0,1,0,4.97E-83,2.47E-15,0,0
1686-14-2,0,0,0,8.83E-78,0,5.25E-213,1,0,0
1686-15-3,0,0,0,0.999750574,0,3.47E-81,0.000249426,0,2.20E-146
1686-20-0,0,0,0,1,0,8.93E-74,4.78E-13,0,2.54E-201
1686-30-2,0,0,0,2.30E-158,0,2.24E-133,1,0,1.75E-296
1686-54-0,0,0,0,0.000691468,0,2.66E-69,0.999308532,0,3.04E-23
