species,X80.56.8,X123.35.3,X562.74.3,X98.55.5,X87.44.5,X483.76.1,X79.92.5,X127.91.3,X138.86.3
Pinus_crassicorticea,29.17,0.996,0,0.293,12.305,4.569,1.7,10.6,4.96
Pinus_massoniana,0,0,0,0,18.48,0,0,0,0
Pinus_densiflora,18,6,0,1.3,6.2,4.1,1.6,8.1,0
Pinus_thunbergii,11.9,2.7,0,4.8,6,2.9,1.1,33.5,0
Pinus_contorta,1.2,1,11,2.4,0,0,0.2,0.5,2
Pinus_ponderosa,3.6,1.7,0.4,5.3,0.5,1.6,0.1,21.5,0.8
Pinus_palustris,11.6,0.7,0.3,27.3,6.7,8.3,0.5,25.2,1.9
Pinus_caribaea,8.2,3.9,0,0,7.6,0,0.4,1.6,42.9
Pinus_taeda,62.3,1.8,0.2,2.3,0,0,1.7,7.1,2
Pinus_rigida,10.5,3.2,0,6.2,5.8,5.9,1.5,23,2.2
Pinus_elliottii,43,2.3,0.1,9.6,0.6,0,0.1,27.1,2.9
Pinus_attenuata,9.6,1.1,0.2,1.2,3.5,4,0.6,19.1,5
Pinus_patula,35.2,0.9,0.4,0.5,0,1.6,1.6,2.2,0
Pinus_bungeana,17.9,1.1,0,0,27.2,7.3,5.2,4.3,2.1
Pinus_gerardiana,20.5,6.2,0.3,6.2,0.7,0.8,1.1,53,5
Pinus_krempfii,21.4,13.3,4,1.5,5.3,2.8,0.3,1.5,22.1
Pinus_peuce,21.8,4,0.1,0.5,4.7,3.7,2.5,9.4,2.5
Pinus_strobus,34.1,3.1,0,0,2.7,3.6,3.8,19.5,0
Pinus_flexilis,37.1,1.5,0.2,1.5,0.2,0.3,8.5,21.9,3.3
Pinus_cembra,24.94,1.7,0.1,0,0.34,0.38,5.55,10.38,40.97
Pinus_monticola,21,4.2,0,1.3,0.5,0,3.5,22.8,14
Pinus_parviflora,16.3,5.8,0,0,4.9,1.9,4.8,16.2,14.2
Pinus_armandii,1.9,3.2,0.2,0,10.9,1.7,0.6,0.7,4.6
Pinus_koraiensis,8.2,2.7,0,0,8.5,12.1,2.8,1,4.4
Pinus_wallichiana,14.8,1.3,0.2,0.3,1.8,0,1,34,17.8
Pinus_monophylla,29,5.4,1.5,9.2,0.1,0.7,0.6,23.4,2.1
Pinus_edulis,13.1,3.5,1.3,6.8,0,1.1,0.4,34.8,2.5
Picea_glauca,0,0,0.4,0.9,0,0,7.7,0,8
Picea_engelmannii,3.6,11.7,0.6,2.8,0.1,0.5,6,2.4,4.4
Picea_orientalis,13.8,1.4,0.2,1.6,1.5,0.2,1,26.3,19.4
Picea_pungens,16.4,0.4,0.1,0.3,0,0,0.3,23.3,43.8
Picea_abies,5.4,0.75,0,0.24,0.33,9.49,7.55,0.52,9.29
Picea_glehnii,16.66,1.9,0,0,0,0,11.14,4.24,0
Picea_mariana,12.9,3.7,0.4,1.2,0,0,16.4,2.6,4.1
Larix_kaempferi,18.57,0,0.54,4.67,0,4.07,0.48,2.96,2.62
Larix_laricina,16.1,4,0,0.9,0,0.6,13.4,12.2,13.2
Larix_decidua,51,9.7,0.8,0.4,2.2,0,1.4,2.3,3.9
